ICAO	city
CYDQ	Dawson Creek
CYEA	Empress
CYED	Edmonton Namao
CYEE	Midland Huronia
CYEG	Edmonton
CYEK	Arviat
CYEL	Elliot Lake Muni
CYEM	Manitowaning Manitoulin East
CYEN	Estevan
CYER	Fort Severn
CYET	Edson
CYEU	Eureka
CYEV	Inuvik
CYEY	Amos Muni
CYFA	Fort Albany
CYFB	Iqaluit
CYFC	Fredericton
CYFD	Brantford
CYFE	Forestville
CYFH	Fort Hope
CYFJ	La Macaza
CYFO	Flin Flon
CYFR	Fort Resolution
CYFS	Fort Simpson
CYFT	Makkovik
CYGB	Texada Gillies Bay
CYGD	Goderich
CYGE	Golden
CYGH	Fort Good Hope
CYGK	Kingston
CYGL	La Grand Riviere
CYGM	Gimli Indus Park
CYGO	Gods Lake Narows
CYGP	Gaspe
CYGQ	Geraldton
CYGR	Iles De La Madeleine
CYGS	Germansen Landing
CYGT	Igloolik
CYGV	Havre St Pierre
CYGW	Kuujjuarapik
CYGX	Gillam
CYGZ	Grise Fiord
CYHA	Quaqtaq
CYHB	Hudson Bay
CYHD	Dryden
CYHE	Hope
CYHF	Hearst Rene Fontaine Muni
CYHH	Nemiscau
CYHI	Holman
CYHK	Gjoa Haven
CYHM	Hamilton
CYHN	Hornepayne Muni
CYHO	Hopedale
CYHR	Chevery
CYHT	Haines Junction
CYHU	Montreal St Hubert
CYHY	Hay River
CYHZ	Halifax
CYIB	Atikokan Muni
CYID	Digby
CYIF	St Augustin
CYIK	Ivujivik
CYIO	Pond Inlet
CYIV	Island Lake 
CYJA	Jasper
CYJF	Fort Liard
CYJM	Fort St James Perison
CYJN	St Jean
CYJP	Fort Providence
CYJQ	Bella Bella Denny Island
CYJT	Stephenville
CYKA	Kamloops
CYKC	Collins Bay
CYKD	Aklavik
CYKF	Kitchener Waterloo Guelph Regional
CYKG	Kangiqsujjuaq Wakeham Bay
CYKJ	Key Lake
CYKL	Schefferville
CYKO	Akulivik
CYKQ	Waskaganish
CYKX	Kirkland Lake
CYKY	Kindersley
CYKZ	Toronto Buttonville Muni
CYLA	Aupaluk
CYLB	Lac La Bitche
CYLC	Lake Harbour (Kimmirut?)
CYLD	Chapleau
CYLH	Lansdowne House
CYLJ	Meadow Lake
CYLL	Lloydminster
CYLO	Shilo Flewen
CYLP	Mingan
CYLQ	La Turque
CYLR	Leaf Rapids
CYLT	Alert
CYLU	Kangiqsualujjuaq Georges River
CYLW	Kelowna
CYLY	Lytton
CYMA	Mayo
CYMD	Mould Bay
CYME	Matane
CYMG	Manitouwadge
