ICAO	city
FVZI	Mwenezi
FVZK	Zaka
FVZM	Muzarabani
FWBG	Bangula
FWCB	Chilumba
FWCC	Chintheche
FWCD	Chelinda
FWCL	Blantyre Chileka
FWCM	Club Makokola
FWCS	Ntchisi
FWCT	Chitipa
FWDW	Dwanga
FWDZ	Dedza
FWKA	Karonga
FWKB	Katumbi
FWKG	Kasungu
FWKK	Nkhotakota
FWLI	Lilongwe Kamuzu Intl
FWLK	Likoma
FWLP	Kasungu Lifupa
FWMC	Mchinji
FWMG	Mangochi
FWMY	Monkey Bay
FWMZ	Mzimba
FWNB	Ngabu
FWSJ	Nsanje
FWSM	Salima
FWSU	Nchalo Sucoma
FWTK	Mtakatata
FWUU	Mzuzu
FWZA	Zomba
FXBB	Bobete 
FXKA	Katse
FXKB	Kolberg 
FXKY	Kuebunyane
FXLK	Lebakeng 
FXLR	Leribe
FXLS	Lesobeng
FXLT	Letseng 
FXMA	Matsaile
FXMF	Mafeteng 
FXMH	Mohale's Hoek
FXMK	Mothotlong 
FXML	Malefiloane 
FXMM	Maseru/Moshoeshoe 
FXMN	Mantsonyane 
FXMP	Mohlanapeng 
FXMS	Mashai Store
FXMT	Matabeng Store
FXMU	Maseru/Mejametalana
FXMV	Matabeng Village 
FXNH	Nohanas 
FXNK	Nkaus 
FXPG	Pelaneng 
FXQG	Quthing 
FXQN	Qacha's Nek 
FXSE	Sehlabathebe
FXSH	Sehonghong 
FXSK	Sekake
FXSM	Semonkong 
FXSS	Seshote 
FXST	St Theresa 
FXTA	Thaba Tseka 
FXTB	Tebellong 
FXTK	Tlokoeng 
FYAA	Al Ais
FYAB	Aroab
FYAK	Aussenkehr
FYAM	Aminuis
FYAN	Aranos
FYAR	Arandis
FYAS	Aus
FYAV	Ariamsvlei
FYBB	Beenbreek
FYBC	Bethanien
FYBG	Bagani
FYBJ	Bitterswasser
FYCB	Conception Bay
FYCC	Cape Cross
FYCO	Coenbritz
FYCV	Cordova
FYDC	Damarland Camp
FYDS	Dordabis
FYEF	Epupa Falls
FYEH	Ehomba
FYEK	Epukiro
FYEN	Eenhana
FYER	Ermo
FYET	Etusis
FYGB	Gobabis
FYGC	Gochas
FYGF	Grootfontein
FYGK	Geluk
FYGL	Omaruru Game Lodge
FYGM	Gamis
FYGN	Grunau
FYGO	Gobabeb
FYGP	Geluksput
FYHA	Hamas
FYHC	Hilkers Cheetahdrome
FYHH	Helmeringhausen
FYHI	Halali
FYHL	Huab Lodge
FYHN	Henties Bay
FYHS	Hobas
FYHT	Hobatere
FYHV	Hartmann's Valley
FYIA	Into Africa Lodge
FYIB	Ibenstein
FYIH	Immenhof
FYII	Impalila Island
FYIM	Immelmann
FYKA	Karibib
FYKB	Karasburg
FYKD	Kalkrand
FYKG	Okongo
FYKJ	Kamanjab
FYKK	Okokongo
FYKL	Kalkerus
FYKM	Katima Kulilo
FYKN	Okonjima
FYKO	Kombat
FYKP	Okaputa
FYKR	Okarusu Mine
FYKT	Keetmanshoop
FYKW	Okangwati
FYKX	Khorixas
FYKY	Uitkyk
FYKZ	Kuzikus
FYLR	La Rochelle
FYLS	Lianshulu
FYLV	Leonardville
FYLZ	Luderitz
FYMB	Meob Bay
FYME	Mount Etjo
FYMF	Marienfluss
FYMG	Midgard
FYMH	Maltahohe
FYML	Marienthal
FYMO	Mokuti Lodge
FYMP	Mpacha
FYMR	Omatarazu
FYMT	Mangetti
FYMU	Mushala Lodge
FYMW	Mowe Bay
FYNA	Namutoni
FYND	Noordoewer
FYNG	Ongava
FYNN	Namib Naukluft Lodge
FYNP	Nepara
FYOA	Ondangwa
FYOE	Omega
FYOG	Oranjemund
FYOH	Okahao
FYOI	Oshikango
FYOJ	Outjo
FYOK	Okakarara
FYOM	Omaruru
FYON	Okahandja
FYOO	Okaukuejo
FYOP	Opuwa
FYOR	Oropoko
FYOS	Oshakati
FYOU	Operet
FYOV	Otavi
FYOW	Otjiwarongo
FYOZ	Okozongomingo
FYPR	Okaperuperu
FYPU	Puros
FYPW	Palmwag
FYRF	Rietfontaein
FYRH	Rehoboth
FYRP	Rosh Pinah
FYRU	Rundi
FYSC	Sinclaire
FYSF	Sesfontein
FYSG	Shadigongoro
FYSH	Steinhausen
FYSI	Shitemo
FYSM	Swakopmund
FYSN	Osono
FYSO	Solitaire
FYSP	Stampriet
FYSR	Sarusas
FYSS	Sesriem
FYST	Strate
FYSV	Sossusvlei
FYTB	Tsaobis
FYTE	Terrace Bay
FYTK	Tsumkwe
FYTL	Talismanis
FYTM	Tsumeb
FYTN	Otjinene
FYTO	Torra Bay
FYTR	Twee Rivieren
FYTS	Tsandi
FYUK	Usakos
FYUS	Uis
FYWB	Walvis Bay Rooikop
FYWD	Wolwedans
FYWE	Windhoek Eros
FYWH	Hosea Kutako Intl
FYWI	Witvlei
FYWL	Wabi Lodge
FYWM	Warmbad
FYWT	Witwater
FZAA	Kinshasa
FZAB	Kinshasa N'dolo
FZAC	Maluku
FZAD	Celo Zongo
FZAE	Kimpoko
FZAF	Nsangi
FZAG	Muanda
FZAH	Tshela
FZAI	Kitona Base
FZAJ	Boma
FZAL	Luozi
FZAM	Matadi Tshimpi
FZAN	Inga
FZAP	Lukala
FZAR	Nkolo Fuma
FZAS	Inkisi
FZAU	Konde
FZAW	Kwilu Ngongo
FZAX	Luheki
FZAY	Mvula Sanda
FZBA	Inongo
FZBB	Bongimba
FZBC	Bikoro
FZBD	Oshwe
FZBE	Beno 
FZBF	Bonkita
FZBG	Kempa
FZBH	Isongo
FZBI	Nioki
FZBJ	Mushie
FZBK	Bosobe Boshwe
FZBL	Djokele
FZBN	Malebo
FZBO	Bandundu
FZBP	Ngebolobo
FZBQ	Bindja
FZBR	Bolongonkele
FZBS	Semendwa
FZBT	Kiri Basango Mbol
FZBU	Ipeke
FZBV	Kempile
FZBW	Bokote Basengele
FZCA	Kikwit
FZCB	Idiofa
FZCD	Vanga
FZCE	Lusanga
FZCF	Kahemba
FZCG	Tembo
FZCI	Banga
FZCK	Kajiji
FZCL	Banza Lute
FZCM	Mangai II
FZCO	Boko
FZCP	Popokabaka
FZCR	Busala
FZCS	Kenge
FZCT	Fatundu
FZCU	Ito
FZCV	Masi Manimba
FZCW	Kikongo Sur Wamba
FZCX	Kimafu
FZCY	Yuki
FZDA	Malanga
FZDB	Kimbau
FZDC	Lukuni
FZDD	Wamba Luadi
FZDE	Tono
FZDF	Nzamba
FZDG	Nyanga
FZDH	Ngi
FZDI	Yalifafu
FZDJ	Mutena
FZDK	Kipata Katika
FZDL	Kolokoso
FZDM	Masamuna
FZDN	Mongo Wa Kenda
FZDO	Moanza
FZDP	Mukedi
FZDQ	Mazelele
FZDR	Bokela
FZDS	Yasa Bongo
FZDT	Matari
FZDU	Kimpangu
FZDY	Missayi
FZEA	Mbandaka
FZEB	Monieka
FZEG	Lukolela
FZEI	Ingende
FZEL	Lilenga
FZEM	Yembe Moke
FZEN	Basankusu
FZEO	Beongo
FZEP	Mentole
FZER	Kodoro
FZES	Ngumu
FZFA	Libenge
FZFB	Imesse
FZFC	Engengele
FZFD	Gbadolite
FZFE	Abumumbazi
FZFF	Bau
FZFG	Bokada
FZFH	Mokaria Yamoleta
FZFJ	Goyongo
FZFK	Gemena
FZFL	Kala
FZFN	Lombo
FZFP	Kotakoli
FZFQ	Mpaka
FZFR	Mombongo
FZFS	Karawa
FZFT	Tandala
FZFU	Bumba
FZFV	Gbado
FZFW	Gwaka
FZGA	Lisala
FZGB	Bosondjo
FZGC	Bolila
FZGD	Bokenge
FZGE	Binga
FZGF	Bokungu
FZGG	Mondombe
FZGH	Wema
FZGI	Yalingimba
FZGJ	Nkembe
FZGN	Boende
FZGT	Boteka
FZGV	Ikela
FZGX	Monkoto
FZGY	Yemo
FZIA	Kisangani Simisimi
FZIC	Kisangani Bangoka
FZIF	Ubundu
FZIG	KM 95 CFL
FZIK	Katende
FZIR	Yangambi
FZIZ	Lokutu
FZJA	Isiro Ville
FZJB	Doko
FZJC	Dungu Uye
FZJD	Doruma
FZJE	Epi
FZJF	Aba
FZJH	Isiro-Matari
FZJI	Watsha
FZJK	Faradje
FZJN	Luniemu
FZJR	Kere Kere
FZKA	Bunia
FZKB	Bambili Dingila
FZKC	Mahagi
FZKF	Kilomines
FZKI	Yedi
FZKJ	Buta Zega
FZKN	Aketi
FZKO	Ango
FZKP	Bondo
FZMA	Bukavu Kavuma
FZMB	Butembo
FZMC	Mulungu
FZMD	Nzovu
FZMK	Bulongo Kigogo
FZMP	Kimano II
FZMW	Shabunda
FZNA	Goma
FZNB	Katale
FZNC	Rutshuru
FZNF	Lubero
FZNI	Ishasha
FZNK	Katanda Rusthuru
FZNM	Mweso
FZNO	Etaetu
FZNP	Beni Mavivi
FZNQ	Obaye
FZNR	Rwindi
FZNT	Mutwanga
FZOA	Kindu
FZOB	Tingi Tingi
FZOC	Kalima Kalisuku
FZOD	Kalima Kakungwa
FZOE	Kampene
FZOF	Kiapupe
FZOG	Lulingu Tshionka
FZOH	Moga
FZOJ	Obokote
FZOK	Kasongo
FZOO	Kailo
FZOP	Punia
FZOQ	Punia Basenge
FZOR	Saulia
FZOS	Kasese
FZOT	Phibraki
FZPB	Kamituga
FZPC	Lugushwa
FZQA	Lubumbashi
FZQC	Pweto
FZQD	Mulungwishi
FZQE	Kinsenda
FZQF	Fungurume
FZQG	Kasenga
FZQH	Katwe
FZQI	Kamatanda
FZQJ	Mwadingushia
FZQM	Kolwezi
FZQN	Mutshatsha
FZQO	Lubumbashi/Karavia
FZQP	Kisenge
FZQU	Lubudi
FZQV	Mitwaba
FZQW	Luishi
FZRA	Manono
FZRB	Moba
FZRC	Mukoy
FZRD	Kabombo
FZRE	Bukena
FZRF	Kalemie
FZRG	Kania-Sominki
FZRJ	Pepa
FZRK	Kansimba
FZRL	Lusinga
FZRM	Kabalo
FZRN	Nyunzu
FZRO	Luvua
FZRQ	Kongolo
FZSA	Kamina-Base
FZSB	Kamina Ville
FZSC	Songa
FZSD	Sandoa
FZSE	Kanene
FZSI	Dilolo
FZSJ	Kasaji
FZSK	Kapanga
FZTK	Kaniama
FZTL	Luena
FZTS	Kasese/Kaniama
FZUA	Kananga
FZUE	Lubondaie
FZUF	Kasonga
FZUG	Luisa
FZUH	Moma
FZUI	Mboi
FZUJ	Muambi
FZUK	Tshikapa
FZUL	Bulape
FZUM	Mutoto
FZUN	Luebo
FZUO	Musese
FZUP	Diboko
FZUR	Tshibala
FZUS	Tshikaji
FZUT	Katubwe
FZUU	Lutshatsha
FZUV	Kalonda
FZVA	Lodja
FZVC	Kole Sur Lukenie
FZVD	Dingele
FZVE	Lomela
FZVF	Kutusongo
FZVG	Katako Kombe
FZVH	Shongamba
FZVI	Lusambo
FZVJ	Tshumbe
FZVK	Lukombe-Batwa
FZVL	Wasolo
FZVM	Mweka
FZVN	Wembo-Nyama
FZVO	Bena-Dibele
FZVP	Dikungu
FZVR	Basongo
FZVS	Ilebo
FZVT	Dekese
FZVU	Idumbe
FZWA	Mbuji-Mayi
FZWB	Bibanga
FZWC	Gandajika
FZWE	Mwene-Ditu
FZWF	Kipushi
FZWI	Kashia
FZWL	Munkamba
FZWR	Kisengwa
FZWS	Lubao
FZWT	Kabinda/Tunda
GAAO	Ansongo
GABD	Bandiagara
GABF	Bafoulabe
GABG	Bougouni
GABR	Bourem
GABS	Bamako/Senou
GADA	Dioila
GADZ	Douentza
GAFD	Faladie
GAGL	Aguelhoc
GAGM	Goundam
GAGO	Gao
GAGR	Gourma-Rharous
GAHB	Hombori
GAKA	Kenieba
GAKL	Kidal
GAKM	Ke-Macina
GAKN	Kolokani
GAKO	Koutiala
GAKT	Kita
GAKY	Kayes
GAMA	Markala
GAMB	Mopti/Barbe
GAMK	Menaka
GANF	Niafunke
GANK	Nara Keibane
GANR	Nioro
GASG	Segou
GASK	Sikasso
GASN	San
GATB	Tombouctou
GATN	Taoudenni
GATS	Tessalit
GAYE	Yelimane
GBYD	Banjul (Yundum)
GCFV	Fuerteventura
GCGM	La Gomera
GCHI	Hierro
GCLA	La Palma
GCLB	El Berriel Gran Canaria
GCLP	Las Palmas Gran Canaria
GCRR	Arrecife Lanzarote
GCTS	Tenerife Sur Reina Sofia
GCXO	Tenerife Norte
GECT	Ceuta Hel
GEHM	Melilla Hel
GEML	Melilla 
GFBN	Bonthe
GFBO	Bo
GFCK	Cockerill
GFGK	Gbangbatok
GFHA	Hastings
GFKB	Kabala
GFKE	Kenema
GFLL	Freetown/Lungi
GFTO	Tongo
GFYE	Yengema
GGBB	Bambadinca
GGBE	Bedanda
GGBF	Bafata
GGBI	Bissora
GGBO	Bolama
GGBU	Bubaque
GGCC	Cacine
GGCF	Cufar
GGCG	Cantchungo
GGCT	Catio
GGCV	Caravela
GGEP	Empada
GGFO	Formosa
GGFR	Farim
GGFU	Fulacunda
GGGA	Galinhas
GGGB	Gabu
GGMS	Mansoa
GGOV	Bissau/Oswaldo Vieira Intl
GGPC	Pecixe
GGPR	Pirada
GGSD	Sao Domingos
GGTT	Tite
GGUN	Uno
GGVR	Varela
GLBU	Buchanan
GLCM	Robertsport/Cape Mount
GLCP	Harper/ Cape Palmas
GLGE	Greenville/ Slnoe
GLLB	Buchanan (Lamco)
GLMR	Monrovia/ Spriggs Payne
GLNA	NImba (Lamco)
GLRB	Monrovia /Roberts Intl
GLSK	Sanniquellie
GLST	Sasstown
GLTN	Tchien
GLVA	Voinjama
GMAA	Agadir/ Inezgane
GMAD	Agadir/ Al Masslra
GMAT	Tan-Tan/ Plage Blanche
GMAZ	Zagora
GMFA	Ouezzane
GMFF	Saiss Fez
GMFI	Ifrane 
GMFK	Er-Rachidia
GMFN	Taouima Nador
GMFO	Oujda/ Angads
GMFT	Touahar
GMFU	Fes/ Sefrou
GMFZ	Taza
GMMA	Smara
GMMB	Ben Slimane
GMMC	Casablanca Anfa 
GMMD	Beni-Mellal
GMME	Rabat Sale 
GMMF	Sidi Ifni
GMMH	Dakhla
GMMI	Essaouira
GMMJ	El Jadida
GMMK	Khouribga
GMML	Laayoune
GMMN	Casablanca
GMMO	Taroudant
GMMS	Safi
GMMT	Casablanca Tit-Mellil
GMMX	Marrakesh
GMMY	Kenitra Tourisme
GMMZ	Ouarzazate
GMSL	Sidi Slimane
GMTA	Al Hoceima
GMTN	Sania-Ramel Tetouan
GMTT	Boukhalf Tanger
GOGG	Ziguinchor
GOGK	Kolda
GOGS	Cap Skiring
GOOD	Diourbel
GOOK	Kaolack
GOOY	Dakar Yoff
GOSM	Matam Ouro Sogui
GOSP	Podor
GOSR	Richard Toll
GOSS	Saint Louis
GOTB	Bakel
GOTK	Kedougou
GOTS	Simenti
GOTT	Tambacounda
GQNA	Aioun El Atrouss
GQNB	Boutilmit
GQNC	Tichitt
GQND	Tidjika
GQNE	Bogue
GQNF	Kiffa
GQNH	Timbedra
GQNI	Nema
GQNJ	Akoujt
GQNK	Kaedi
GQNL	Moudjeria Letfotar
GQNM	Timbedra Dahara
GQNN	Nouakchott
GQNR	Rosso
GQNS	Selibabi
GQNT	Tamchakett
GQNU	M'bout
GQPA	Atar
GQPF	F'derick
GQPP	Nouadhibou
GQPT	Bir Moghrein
GQPZ	Zouerate
GSAI	El Aaiun
GSVO	Villa Cisneros
GUCY	Conakry Gbessia
GUFA	Fria Katourou
GUFH	Faranah Badala
GUGO	Banankoro Gbenko
GUKR	Kamsar Kawass
GUKU	Kissidougou
GULB	Labe Tata
GUMA	Macenta
GUNZ	N'zerekore Konia
GUOK	Boke Baralande
GUSA	Sangaredi
GUSB	Koundara Sambailo
GUSI	Siguiri
GUXN	Kankan Kankan
GVAC	Sal Amilcar Cabral Intl
GVAN	Agostinho Neto Santa Antao Is
GVBA	Boavista
GVBR	Esparadinha Brava Is
GVFM	Francisco Mendes
GVMA	Maio
GVMT	Mosteiros
GVPR	Praia
GVSF	Sao Felipe
GVSN	Sao Nicolau
GVSV	Sao Vicente
HAAB	Addis Ababa
HAAD	Adaba
HAAL	Addis Ababa Liddetta
HAAM	Arba Minch
HAAW	Awash
HAAX	Axum
HABB	Bunno Bedele
HABC	Baco
HABD	Bahar Dar
HABE	Beica
HABU	Bulchi
HADB	Dageha Bur
HADC	Dessie Combolcha
HADD	Dembidollo
HADL	Dallol
HADM	Debre Marcos
HADN	Danguilla
HADO	Dodola
HADR	Dire Dawa
HADT	Debre Tabor
HAFN	Fincha
HAGB	Goba
HAGH	Ghinnir
HAGL	Galadi
HAGM	Gambella
HAGN	Gondar
HAGO	Gode (Mil)
HAGR	Gore
HAGU	Gura
HAHM	Debre Zeit
HAHS	Hossana
HAHU	Humera
HAJJ	Jijiga
HAJM	Jimma
HAKD	Kebre Dehar
HAKL	Kalafo
HALA	Awasa
HALL	Lalibela
HAME	Mieso
HAMJ	Maji
HAMK	Makale
HAML	Masslo
HAMM	Metema
HAMN	Mendi
HAMO	Motta
HAMR	Mui River
HAMT	Mizan Teferi
HANG	Neghelle
HANJ	Nejjo
HANK	Nekemte
HASD	Sodo
HASH	Sheik Hussein
HASO	Assosa
HATO	Tendaho
HATP	Tippi
HAWC	Wacca
HBB0	Kirundo
HBBA	Bujumbura
HBBE	Gitega
HBBK	Kiofi Gihofi
HCMA	Alula
HCMB	Baidoa
HCMC	Candala
HCMD	Bardera
HCME	Eil
HCMF	Bosasa
HCMG	Gardo
HCMH	Hargeisa
HCMI	Berbera
HCMJ	Lugh Ferrandi
HCMK	Kisimayu
HCML	El Bur
HCMM	Mogadishu
HCMN	Belet Uen
HCMO	Obbia
HCMP	Las Anod
HCMR	Galcaio
HCMS	Scusciuban
HCMU	Erigavo
HCMV	Burao
HDAE	As Eyla
HDAG	Assa Guella
HDAM	Djibouti
HDAS	Ali Sabieh
HDCH	Chebelley
HDDK	Dikhil
HDDO	Dorra
HDHE	Herkale
HDMO	Moucha
HDOB	Obock
HDTJ	Tadjourah
HDYO	Yoboki
HEAR	El Arish
HEAT	Asyut
HEAX	Alexandria
HEBA	Borg El Arab
HEBL	Abu Simbel
HECA	Cairo
HEDK	Dakhla
HEEM	Embaba
HEGN	Hurghada
HEGR	El Gora
HEKG	El Khargha
HELX	Luxor
HEMM	Mersa Matruh
HENV	New Valley
HEOW	Shark El Oweinat
HEPS	Port Said
HESC	St Catherine
HESH	Sharm El Sheikh
HESN	Aswan
HETB	Taba
HETR	El Tor
HHAG	Agordat
HHAK	Adi Keyih
HHAL	Alghena
HHAS	Asmara
HHAT	Afabet
HHAU	Adi Ugri
HHBA	Barentu
HHBL	Beilul
HHDC	Dahlac
HHGU	Gura
HHHB	Haleb
HHKN	Keren
HHKT	Kerkebet
HHMF	Mersa Fatuma
HHMG	Mersa Gulbub
HHMS	Massawa
HHNF	Nafka
HHOH	Oma Hager
HHSB	Assab
HHTS	Tessanal
HK1	Bamburi
HKAM	Amboseli
HKBA	Busia
HKBR	Bura
HKBU	Bungoma
HKED	Eldoret Airstrip
HKEL	Eldoret
HKEM	Embu
HKES	Eliye Springs
HKEW	El Wak
HKFG	Kalokol
HKGA	Garissa
HKGT	Garba Tula
HKHB	Homa Bay
HKHO	Hola
HKIS	Isiolo
HKJK	Nairobi Intl
HKKA	Kabarak
HKKB	Kiamberi
HKKE	Keekorok
HKKG	Kakamega
HKKI	Kisumu
HKKL	Kilaguni
HKKP	Kapchomuswo
HKKR	Kericho
HKKS	Kisii
HKKT	Kitale
HKKU	Kitui
HKLG	Lokitaung
HKLK	Lokichoggio
HKLO	Lodwar
HKLT	Loitokitok
HKLU	Lamu
HKLY	Loyangalani
HKMA	Mandera
HKMB	Marsabit
HKMG	Magadi
HKMI	Maralal Kisima
HKMK	Meru (Mulika)
HKML	Malindi
HKMM	Migori
HKMO	Mombasa
HKMR	Mackinnon Road
HKMS	Mara Serena
HKMT	Mtito Andei
HKMU	Makindu
HKMY	Moyale
HKMZ	Musiara
HKNI	Nyeri
HKNK	Nakuru
HKNN	Ngoro Ngoro
HKNO	Narok
HKNV	Naivasha
HKNW	Nairobi Wilson
HKNY	Nanyuki
HKRE	Nairobi Eastleigh
HKSB	Samburu South
HKUK	Ukunda
HKVO	Voi
HKWE	Webuye
HKWJ	Wajir
HLFL	Buattifel
HLGL	Giallo
HLGT	Ghat
HLKF	Kufrah
HLLB	Benghazi
HLLM	Tripoli Mitiga
HLLO	Metega
HLLQ	El Beida
HLLS	Sebha
HLLT	Tripoli
HLMB	Marsa Brega
HLNF	Ras Lanouf V 40
HLON	Hon
HLRA	Dahra
HLRF	Jaref Sirte
HLSD	Essider
HLTD	Ghadames
HLZA	Zella 74
HRYG	Gisenyi
HRYI	Butare
HRYN	Nemba
HRYO	Gabiro
HRYR	Kigali
HRYU	Ruhengeri
HRZA	Kamembe
HSAK	Akobo
HSAT	Atbara
HSAW	Aweil
HSBR	Bor
HSBT	Bentu
HSCG	Erkowit Carthago
HSDB	Debba
HSDL	Dilling
HSDM	Dueim
HSDN	Dongola
HSDZ	Damazin
HSFS	El Fasher
HSGF	Gedare Azaza
HSGG	Dinder Galegu
HSGN	Geneina
HSGO	Gogerial
HSKA	Kassala
HSKG	Khashm El Girba
HSKI	Kosti Rabak
HSKJ	Kago Kaju
HSKP	Kapoeta
HSLI	Kadugli
HSLR	Urangu
HSMD	Marida
HSMK	Rumbek
HSMR	Merowe
HSNA	Nasir
HSND	Shendi
HSNH	Nahud
HSNL	Nyala
HSNM	Nimule
HSNN	Nayala
HSNR	Sennar
HSNW	New Halfa
HSOB	El Obeid
HSPA	Pachella
HSPI	Pibor
HSPN	Port Sudan
HSRJ	Raga
HSRN	Renk
HSSJ	Juba
HSSM	Malakal
HSSS	Khartoum
HSSW	Wadi Halfa
HSTO	Tong
HSTR	Torit
HSTU	Tumbura
HSWW	Wau
HSYA	Yambio
HSYE	Yei
HSYL	Yirol
HSZA	Zalingei
HTAR	Arusha
HTBH	Biharamulo
HTBU	Bukoba
HTCH	Chunya
HTDA	Dar-es-Salaam
HTDO	Dodoma
HTFI	Fort Ikoma
HTIR	Iringa
HTIY	Inyonga
HTKA	Kigoma
HTKB	Kibondo
HTKD	Kondoa
HTKI	Kilwa Masoko
HTKJ	Kilimanjaro
HTKL	Kirondatal
HTKO	Kongwa
HTKR	Karagwe
HTKT	Kilimatinde
HTLD	Loliondo
HTLI	Lindi
HTLL	Liuli
HTLM	Lake Manyara
HTLO	Lobo Wildlife Lodge
HTMA	Mafia
HTMB	Mbeya
HTMC	Maswa
HTMD	Mwadui
HTMG	Morogoro
HTMI	Masasi
HTMK	Mikumi
HTMN	Manyoni
HTMO	Mombo
HTMP	Mpanda
HTMR	Msembe Ruaha National Park
HTMS	Moshi
HTMT	Mtwara
HTMU	Musoma
HTMV	Mvumi
HTMW	Mwanza
HTMX	Mpwapwa
HTMY	Mbuyu
HTNA	Nachingwea
HTNG	Ngerengere
HTNJ	Njombe
HTNR	Ngara
HTOL	Oldeani
HTPE	Pemba
HTSD	Singida
HTSE	Same
HTSH	Mafinga
HTSN	Seronera
HTSO	Songea
HTSU	Sumbawanga
HTSY	Shinyanga
HTTB	Tabora
HTTG	Tanga
HTTU	Tunduru
HTUK	Ukerewe
HTUR	Urambo
HTUT	Utete
HTUV	Uvinza
HTWH	Wazo Hill
HTWK	West Kilimanjaro
HTZA	Zanzibar
HUAJ	Adjuman
HUAR	Arua
HUBA	Pakuba
HUBU	Bundibugyo
HUEN	Entebbe
HUFP	Fort Portal
HUGU	Gulu
HUJI	Jinja
HUKB	Kabale
HUKC	Kampala
HUKD	Kidepo
HUKF	Kabalega Falls
HUKK	Kakira
HUKO	Kotido
HUKS	Kasese
HUKT	Kitgum
HULA	Lake George Kasenyi
HULI	Lira
HUMA	Mbarara
HUMI	Masindi
HUMO	Moroto
HUMW	Mweya
HUPA	Pakuba
HUSO	Soroti
HUTO	Tororo
KAAF	Apalachicola
KAAO	Col Jabara
KAAP	Andrau
KAAS	Taylor Co
KAAT	Alturas Mun
KABA	Albany Mun
KABE	Lehigh Valley Allentown
KABI	Abilene
KABO	Arecibo
KABQ	Albuquerque
KABR	Aberdeen
KABY	Southwest Georgia Albany
KACB	Antrim
KACJ	Souther
KACK	Nantucket
KACQ	Waseca
KACT	Waco
KACV	Arcata-Eureka
KACY	Atlantic City
KACZ	Henderson
KADG	Lenawee Co
KADH	Ada Muni
KADM	Ardmore Muni
KADS	Addison
KADT	Atwood Rawlins
KADU	Audubon
KADW	Andrews AFB
KAEG	Double Eagle II
KAEL	Albert Lea Muni
KAEX	Alexandria Intl
KAFF	USAF Academy
KAFJ	Washington Co
KAFK	Nebraska City Mun
KAFN	Jaffrey Muni Silver Ranch
KAFO	Afton Muni
KAFW	Fort Worth Alliance
KAGC	Allegheny Co
KAGO	Magnolia Muni
KAGS	Bush
KAGZ	Wagner Muni
KAHC	Amedee AAF
KAHH	Amery Mun
KAHN	Athens/Epps
KAHQ	Wahoo Mun
KAIA	Alliance Mun
KAID	Anderson Mun Darlington
KAIG	Langlade Co
KAIK	Aiken Muni
KAIO	Atlantic Muni
KAIT	Aitkin Mun Kurtz
KAIV	Downer
KAIY	Atlantic City Mun
KAIZ	Fine Meml
KAJG	Mt Camel Mun
KAJO	Corona
KAJR	Habersham Co
KAKH	Gastonia Mun
KAKO	Akron Washington Co
KAKQ	Wakefield Mun
KAKR	Akron Fulton Intl
KALB	Albany
KALI	Alice Intl
KALM	Alamogordo White Sands
KALN	St Louis Regl
KALO	Waterloo
KALS	San Luis Valley Bergman
KALW	Walla Walla
KALX	Russell
KAMA	Amarillo
KAMG	Bacon Co
KAMN	Gratiot Community
KAMT	Salamon
KAMW	Ames Muni
KANB	Anniston Metro
KAND	Anderson
KANE	Anoka Co Blaine
KANJ	Sault Ste Marie Mun Sanderson
KANP	Lee
KANQ	Tri State Steuben Co
KANW	Ainsworth Mun
KANY	Anthony Mun
KAOC	Arco Butte
KAOH	Lima Allen
KAOO	Altoona Blair Co
KAOV	Ava Martin Meml
KAPA	Centennial
KAPC	Napa Co
KAPF	Naples
KAPG	Phillips AAF / Aberdeen
KAPH	AP Hill
KAPN	Alpena
KAPT	Marion Co Brown
KAPV	Apple Valley
KAQP	Appleton Mun
KAQW	Harriman and West
KARA	Acadiana
KARB	Ann Arbour
KARG	Walnut Ridge
KARR	Aurora
KART	Watertown
KARV	Lakeland Lee
KASD	Slidell
KASE	Aspen Pitkin Co Sardy
KASG	Springdale
KASH	Boire
KASJ	Tri Co
KASL	Harrison Co
KASN	Talladega Mun
KAST	Astoria Regl
KASW	Warsaw Muni
KASX	Kennedy Meml
KASY	Ashley Mun
KATA	Atlanta Muni
KATL	The Hartsfield Atlanta
KATS	Artesia Muni
KATW	Outagamie Co Regl
KATY	Watertown
KAUG	Augusta State
KAUH	Aurora Muni
KAUM	Austin Muni
KAUN	Auburn Muni
KAUO	Auburn Opelika Pitts
KAUS	Mueller Mun
KAUW	Wausau Downtown
KAVC	Mecklenburg Brunswick
KAVL	Asheville
KAVO	Avon Park
KAVP	Wilkes-Barre Scranton
KAVX	Catalina
KAWG	Washington Muni
KAWM	West Memphis Mun
KAWO	Arlington Mun
KAXA	Algona Muni
KAXH	Houston Southwest
KAXN	Chandler
KAXS	Altus Mun
KAXV	Armstrong
KAXX	Angel Fire
KAYE	Ft Devens Moore AFB
KAYS	Waycross Ware
KAZC	Colorado City Mun
KAZE	Hazlehurst
KAZO	Kalamazoo Battle Creek
KAZU	Arrowhead Assault 
KBAB	Beale AFB / Marysville
KBAD	Barkdale AFB / Bossier City
KBAF	Barnes Mun
KBAK	Columbus
KBAM	Battle Mountain
KBAX	Huron Co
KBAZ	New Braunfels Mun
KBBB	Benson Muni
KBBD	Curtis
KBBP	Marlboro
KBBW	Broken Bow
KBCB	Virginia Tech
KBCE	Bryce Canyon
KBCK	Black River Falls
